soilTemperature,volumetric water content,electrical conductivity,Salinity,Total Dissolved Solids,dielectric constant,timestamp,datetime
23.1,100,461,253,230,81.87,1685729947,2023-06-02 12:19:07
23.12,100,461,253,230,81.87,1685729950,2023-06-02 12:19:10
23.1,100,461,253,230,81.87,1685729953,2023-06-02 12:19:13
23.1,100,461,253,230,81.87,1685729956,2023-06-02 12:19:16
23.1,100,461,253,230,81.87,1685729959,2023-06-02 12:19:19
23.12,100,461,253,230,81.87,1685729962,2023-06-02 12:19:22
23.1,100,461,253,230,81.87,1685729965,2023-06-02 12:19:25
23.1,100,461,253,230,81.87,1685729968,2023-06-02 12:19:28
23.1,100,461,253,230,81.87,1685729971,2023-06-02 12:19:31
23.1,100,461,253,230,81.87,1685729974,2023-06-02 12:19:34
23.1,100,461,253,230,81.87,1685729977,2023-06-02 12:19:37
23.1,100,461,253,230,81.87,1685729980,2023-06-02 12:19:40
23.1,100,461,253,230,81.87,1685729983,2023-06-02 12:19:43
23.1,100,461,253,230,81.87,1685729986,2023-06-02 12:19:46
23.1,100,461,253,230,81.87,1685729989,2023-06-02 12:19:49
23.1,100,461,253,230,81.87,1685729992,2023-06-02 12:19:52
23.1,100,461,253,230,81.87,1685729995,2023-06-02 12:19:55
23.12,100,461,253,230,81.87,1685729998,2023-06-02 12:19:58
23.1,100,461,253,230,81.87,1685730001,2023-06-02 12:20:01
23.12,100,461,253,230,81.87,1685730004,2023-06-02 12:20:04
23.12,100,461,253,230,81.87,1685730007,2023-06-02 12:20:07
23.1,100,461,253,230,81.87,1685730010,2023-06-02 12:20:10
23.1,100,461,253,230,81.87,1685730013,2023-06-02 12:20:13
23.12,100,461,253,230,81.87,1685730016,2023-06-02 12:20:16
23.1,100,461,253,230,81.87,1685730019,2023-06-02 12:20:19
23.1,100,461,253,230,81.87,1685730022,2023-06-02 12:20:22
23.1,100,461,253,230,81.87,1685730025,2023-06-02 12:20:25
23.1,100,461,253,230,81.87,1685730028,2023-06-02 12:20:28
23.12,100,461,253,230,81.87,1685730031,2023-06-02 12:20:31
23.12,100,461,253,230,81.87,1685730034,2023-06-02 12:20:34
23.12,100,461,253,230,81.87,1685730037,2023-06-02 12:20:37
23.12,100,461,253,230,81.87,1685730040,2023-06-02 12:20:40
23.12,100,461,253,230,81.87,1685730043,2023-06-02 12:20:43
23.12,100,461,253,230,81.87,1685730046,2023-06-02 12:20:46
23.12,100,461,253,230,81.87,1685730049,2023-06-02 12:20:49
23.12,100,461,253,230,81.87,1685730052,2023-06-02 12:20:52
23.12,100,461,253,230,81.87,1685730055,2023-06-02 12:20:55
23.12,100,461,253,230,81.87,1685730058,2023-06-02 12:20:58
23.12,100,461,253,230,81.87,1685730061,2023-06-02 12:21:01
23.12,100,461,253,230,81.87,1685730064,2023-06-02 12:21:04
23.12,100,461,253,230,81.87,1685730067,2023-06-02 12:21:07
23.12,100,461,253,230,81.87,1685730070,2023-06-02 12:21:10
23.12,100,461,253,230,81.87,1685730073,2023-06-02 12:21:13
23.12,100,461,253,230,81.87,1685730076,2023-06-02 12:21:16
23.12,100,461,253,230,81.87,1685730079,2023-06-02 12:21:19
23.12,100,461,253,230,81.87,1685730082,2023-06-02 12:21:22
23.12,100,461,253,230,81.87,1685730085,2023-06-02 12:21:25
23.12,100,461,253,230,81.87,1685730088,2023-06-02 12:21:28
23.12,100,461,253,230,81.87,1685730091,2023-06-02 12:21:31
23.12,100,461,253,230,81.87,1685730094,2023-06-02 12:21:34
23.15,100,461,253,230,81.87,1685730097,2023-06-02 12:21:37
23.12,100,461,253,230,81.87,1685730100,2023-06-02 12:21:40
23.15,100,461,253,230,81.87,1685730103,2023-06-02 12:21:43
23.15,100,461,253,230,81.87,1685730106,2023-06-02 12:21:46
23.15,100,461,253,230,81.87,1685730109,2023-06-02 12:21:49
23.15,100,461,253,230,81.87,1685730112,2023-06-02 12:21:52
23.15,100,461,253,230,81.87,1685730115,2023-06-02 12:21:55
23.12,100,461,253,230,81.87,1685730118,2023-06-02 12:21:58
23.15,100,461,253,230,81.87,1685730121,2023-06-02 12:22:01
23.15,100,461,253,230,81.87,1685730124,2023-06-02 12:22:04
23.15,100,461,253,230,81.87,1685730127,2023-06-02 12:22:07
23.15,100,461,253,230,81.87,1685730130,2023-06-02 12:22:10
23.15,100,461,253,230,81.87,1685730133,2023-06-02 12:22:13
23.12,100,461,253,230,81.87,1685730136,2023-06-02 12:22:16
23.15,100,461,253,230,81.87,1685730139,2023-06-02 12:22:19
23.15,100,461,253,230,81.87,1685730142,2023-06-02 12:22:22
23.15,100,461,253,230,81.87,1685730145,2023-06-02 12:22:25
23.15,100,461,253,230,81.87,1685730148,2023-06-02 12:22:28
23.15,100,461,253,230,81.87,1685730152,2023-06-02 12:22:32
23.15,100,461,253,230,81.87,1685730155,2023-06-02 12:22:35
23.15,100,461,253,230,81.87,1685730158,2023-06-02 12:22:38
23.15,100,461,253,230,81.87,1685730161,2023-06-02 12:22:41
23.15,100,461,253,230,81.87,1685730164,2023-06-02 12:22:44
23.15,100,461,253,230,81.87,1685730167,2023-06-02 12:22:47
23.15,100,461,253,230,81.87,1685730170,2023-06-02 12:22:50
23.15,100,461,253,230,81.87,1685730173,2023-06-02 12:22:53
23.17,100,460,253,230,81.87,1685730176,2023-06-02 12:22:56
23.15,100,460,253,230,81.87,1685730179,2023-06-02 12:22:59
23.15,100,460,253,230,81.87,1685730182,2023-06-02 12:23:02
23.17,100,460,253,230,81.87,1685730185,2023-06-02 12:23:05
23.15,100,460,253,230,81.87,1685730188,2023-06-02 12:23:08
23.15,100,460,253,230,81.87,1685730191,2023-06-02 12:23:11
