Elevation_,x,y
1775.2753,663165.1504508160,5883972.9694309253
1775.2458,663165.1120570542,5883974.9991505276
1775.1802,663164.9789419618,5883977.0343333445
1775.1473,663164.8357279192,5883979.0786369219
1775.1408,663164.6776797500,5883981.1234380687
1775.1342,663164.4232605856,5883983.1433607629
1775.0719,663164.0564246678,5883985.1567877466
1774.9899,663163.8084917460,5883987.1949687945
1774.9407,663163.5623431340,5883989.2161749108
1774.8718,663163.6810015662,5883991.2529062824
1774.8324,663163.8014330792,5883993.2788976105
1774.7897,663163.9370097392,5883995.3267821074
1774.7176,663164.0226934192,5883997.3749738736
1774.6421,663163.9007218538,5883999.4097563494
1774.5305,663163.8464753656,5884001.4580880124
1774.4092,663163.7124120812,5884003.4994739136
1774.3173,663163.2271051334,5884005.5306949653
1774.2320,663162.9658839453,5884007.5673106667
1774.1434,663162.7006195972,5884009.6222719643
1774.0844,663162.6829385760,5884011.6777485255
1774.0548,663162.2410471316,5884013.7631119732
1774.0220,663161.8009069734,5884015.8443039414
1773.9925,663161.7352451138,5884017.9148502089
1773.9006,663161.8369499110,5884019.9749439834
1773.8514,663162.0531322513,5884022.0006289901
1773.7956,663162.3680766087,5884024.0183159914
1773.7661,663162.8793085593,5884026.0090532228
1773.7235,663163.2567073380,5884028.0158372652
1773.6316,663164.0614261754,5884029.9840442697
1773.5233,663164.5901160972,5884031.9897389319
1773.5168,663164.4529077938,5884034.0388120087
1773.4544,663164.4290953624,5884036.0714773219
1773.4741,663164.4733803408,5884038.1027844297
1773.4413,663164.3413441292,5884040.1574892923
1773.4413,663164.5664190263,5884042.1641031960
1773.3888,663165.1196346212,5884044.1129560322
1773.3429,663165.5030513488,5884046.1043569716
1773.2838,663166.0762305571,5884048.0792754171
1773.2707,663166.8799095602,5884050.0148240495
1773.1821,663167.5569223464,5884051.9981735526
1773.0542,663167.9255603676,5884053.9943053015
1772.9164,663168.1419768120,5884056.0109800315
1772.9262,663168.1566722800,5884058.0251360312
1772.8475,663168.1080644591,5884060.0238889568
1772.8573,663168.1487319327,5884062.0392623963
1772.7786,663168.2389188544,5884064.0751372948
1772.6637,663168.3761868879,5884066.1006997852
1772.5653,663168.6236828524,5884068.1379169365
1772.5588,663168.8434724172,5884070.1677337801
1772.5752,663169.2034212108,5884072.2024293030
1772.5325,663169.2675674245,5884074.1917675184
1772.5620,663169.5539513632,5884076.2643787777
1772.6244,663169.6438464422,5884078.3206198290
1772.7097,663169.5236868986,5884080.2961177723
1772.7655,663169.4298045218,5884082.2993434090
1772.8704,663169.3541274894,5884084.3074193532
1772.9098,663168.8277373430,5884086.2535117650
1773.0312,663168.3635089766,5884088.2268823022
1773.2051,663167.7637580232,5884090.1615720196
1773.3888,663167.2093819864,5884092.0572759267
1773.5430,663166.7783771200,5884093.9468211457
1773.6907,663166.4045150926,5884095.8633624036
1773.7924,663165.9299397048,5884097.7605559118
1773.9203,663165.2136362850,5884099.5877316287
1774.0712,663164.5579619352,5884101.4419106562
1774.1467,663163.9007866102,5884103.2732131789
1774.2451,663163.1999515316,5884105.0655078618
1774.3337,663162.5048400480,5884106.9556459850
1774.4748,663161.6358655842,5884108.8167111399
1774.6027,663160.8063333924,5884110.7225421015
1774.7176,663159.9423260854,5884112.6051544975
1774.8094,663159.2537761490,5884114.5547511708
1774.8783,663159.2995095622,5884116.5414587772
1774.9702,663159.1837550486,5884118.5038567334
1775.0850,663159.4597913402,5884120.4785781885
1775.1703,663159.6480724853,5884122.4807118503
1775.2425,663159.4746747952,5884124.4998275451
1775.3015,663158.6555114958,5884126.4576750267
1775.3672,663158.1323896422,5884128.4340536743
1775.5050,663157.8639950989,5884130.4057348138
1775.6132,663157.6491705024,5884132.3990572086
1775.6723,663157.7375332940,5884134.3979037683
1775.7215,663157.7891622996,5884136.4064126685
1775.8298,663157.7142140160,5884138.4286541725
1775.9216,663157.6164859798,5884140.4366482776
1775.9676,663157.5357087826,5884142.4370908057
1775.9971,663157.8754069194,5884144.4264480835
1776.0529,663158.1373105207,5884146.4421088975
1776.1907,663158.0095861920,5884148.4666751409
